,ZIP,State,Lat,Lng,Size,Tract,State_code,County,Percent Estimate!!RACE!!Total population!!One race!!White,Percent Estimate!!RACE!!Total population!!One race!!Black or African American,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping,Percent Estimate!!RACE!!Total population!!One race!!Asian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Korean,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,Percent Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,Percent Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander
88,80220,CO,39.73,-104.91,2,004304,08,031,,0.6,1.7,0.0,0.0,0.4,0.0,2.3,0.0,0.0,0.3,0.6,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
89,80221,CO,39.82,-105.01,3,009502,08,001,81.3,0.3,3.7,0.0,0.0,1.7,0.9,3.4,0.7,0.0,1.4,0.0,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.0
90,80226,CO,39.71,-105.09,3,011701,08,059,92.7,0.4,1.0,0.0,0.0,0.0,0.0,1.8,0.9,0.3,0.0,0.0,0.0,0.2,0.5,0.1,0.1,0.0,0.0,0.0
91,80228,CO,39.69,-105.15,11,011712,08,059,92.6,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
92,80230,CO,39.72,-104.89,1,004405,08,031,81.2,5.5,0.8,0.3,0.0,0.2,0.0,4.5,0.4,2.3,0.4,0.7,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0
93,80232,CO,39.69,-105.09,4,011702,08,059,83.9,1.7,4.1,0.0,0.0,0.7,1.3,6.6,0.4,0.3,0.0,0.2,0.0,4.3,1.3,0.0,0.0,0.0,0.0,0.0
94,80234,CO,39.91,-105.01,3,009325,08,001,88.3,3.3,0.2,0.0,,,0.0,3.5,0.2,0.3,0.0,1.1,0.7,0.7,0.5,0.0,0.0,0.0,0.0,0.0
95,80235,CO,39.65,-105.09,1,015900,08,059,82.5,5.3,1.2,0.0,0.0,0.0,0.0,4.6,0.2,0.0,0.1,0.0,1.0,3.1,0.2,0.0,0.0,0.0,0.0,0.0
96,80237,CO,39.64,-104.91,4,006809,08,031,85.6,6.1,0.3,0.0,0.0,0.3,0.0,3.2,0.3,0.2,0.0,0.5,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,80241,CO,39.93,-104.96,3,008545,08,001,86.4,2.3,0.6,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.9,0.0,1.5,2.9,0.0,0.0,0.0,0.0,0.0
98,80246,CO,39.7,-104.93,1,004951,08,005,74.6,6.4,1.4,0.0,0.0,0.0,0.6,6.2,1.2,0.0,0.3,0.0,0.9,0.0,3.7,0.7,0.0,0.0,0.0,0.7
99,80249,CO,39.84,-104.7,2,980000,08,031,56.7,28.5,1.2,0.0,0.0,0.0,0.6,1.6,0.0,0.4,,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0
100,80303,CO,39.97,-105.22,2,060600,08,013,74.5,0.9,0.0,0.0,0.0,0.0,0.0,21.5,13.1,5.6,0.6,0.2,1.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0
101,80304,CO,40.05,-105.29,3,012104,08,013,90.1,0.0,0.6,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.4,1.4,0.0,0.0,0.5,0.1,0.1,0.0,0.0,0.0
102,80305,CO,39.98,-105.26,1,012509,08,013,87.5,2.0,0.0,0.0,0.0,0.0,0.0,3.6,0.6,1.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,80401,CO,39.7,-105.2,8,009845,08,059,96.8,0.4,0.2,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,80403,CO,39.8,-105.3,5,009808,08,059,91.5,0.3,0.3,0.0,0.0,0.0,,2.1,0.0,0.6,0.2,0.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.0
105,80421,CO,39.5,-105.6,1,000100,08,093,94.8,0.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.0,0.0,0.0
106,80424,CO,39.5,-106.1,3,000401,08,117,98.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,80427,CO,39.796,-105.509,1,013800,08,047,92.8,0.6,1.3,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,80433,CO,39.5,-105.3,12,012058,08,059,92.4,0.6,2.7,0.0,0.0,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,80435,CO,39.5,-105.9,9,000402,08,117,98.5,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,80439,CO,39.7,-105.4,11,014700,08,019,96.8,0.1,1.1,0.0,0.0,0.3,0.0,,0.2,0.4,0.7,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0
111,80440,CO,39.1,-105.9,1,000400,08,093,100.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,80454,CO,39.617,-105.244,3,012027,08,059,94.6,2.1,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
113,80457,CO,39.65,-105.3,1,012026,08,059,94.7,1.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,80461,CO,39.2,-106.4,2,961900,08,065,88.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0,0.4,0.0,0.3,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0
115,80498,CO,39.8,-106.2,2,000100,08,117,87.2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,80503,CO,40.2,-105.2,3,013601,08,013,93.5,1.3,0.5,0.0,0.0,0.2,0.0,1.8,0.2,0.2,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0
117,80516,CO,40.07,-105.02,4,002009,08,123,97.7,0.0,1.0,0.0,0.0,0.0,0.0,1.2,0.0,,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,80521,CO,40.59,-105.13,2,000300,08,069,92.7,1.6,0.3,0.0,0.0,0.0,0.0,1.7,0.0,0.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,80524,CO,40.7,-105.0,3,002502,08,069,92.2,0.5,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.1,0.0,0.0
120,80525,CO,40.52,-105.02,2,001605,08,069,86.7,3.7,0.8,0.0,0.0,0.0,0.2,5.0,0.2,1.7,0.5,1.2,0.4,0.1,0.8,0.2,0.2,0.0,0.0,0.0
121,80526,CO,40.56,-105.13,6,001104,08,069,93.1,2.2,1.6,0.0,0.0,0.0,1.4,1.3,0.3,0.7,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.2
122,80528,CO,40.48,-105.0,1,001608,08,069,88.4,0.2,0.3,0.0,0.0,0.0,0.0,6.2,0.0,2.7,0.0,1.4,1.8,0.1,0.1,0.1,0.0,0.0,0.1,0.0
123,80537,CO,40.4,-105.2,3,001808,08,069,93.4,0.7,0.8,0.0,,0.2,0.0,0.6,0.0,0.0,,0.4,0.2,0.0,0.0,0.3,0.3,0.0,0.0,0.0
124,80540,CO,40.2,-105.4,3,013602,08,013,97.3,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0
125,80701,CO,40.2,-103.8,1,000600,08,087,84.0,7.8,,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,80808,CO,39.0,-104.3,2,003909,08,041,94.3,2.2,0.1,0.0,0.0,0.0,0.0,1.1,,0.0,0.6,0.2,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0
127,80813,CO,38.8,-105.2,1,010201,08,119,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,80814,CO,38.9,-105.1,7,010106,08,119,92.1,1.4,0.1,0.0,0.0,0.0,0.0,2.0,0.7,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,80817,CO,38.6,-104.7,2,004511,08,041,77.3,8.3,2.0,0.0,0.0,0.0,0.3,2.1,0.0,0.0,1.0,0.3,0.7,0.0,0.2,0.2,0.2,0.0,0.0,0.0
130,80820,CO,38.8,-105.6,1,000500,08,093,95.3,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0
131,80831,CO,39.0,-104.5,7,003909,08,041,94.3,2.2,,0.0,0.0,0.0,0.0,,0.0,0.0,0.6,0.2,0.0,0.0,0.3,0.1,,0.0,0.0,0.0
132,80903,CO,38.83,-104.81,1,002200,08,041,75.3,9.9,4.6,1.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0
133,80904,CO,38.86,-104.87,1,006600,08,041,96.7,0.3,1.1,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,80907,CO,38.88,-104.82,5,000302,08,041,77.9,6.4,1.3,0.0,0.0,0.0,0.0,3.1,0.0,1.2,0.5,0.2,,0.4,0.7,0.0,0.0,0.0,0.0,0.0
135,80908,CO,39.0,-104.7,2,007602,08,041,95.0,0.7,0.3,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.3,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,80909,CO,38.85,-104.77,8,002000,08,041,61.0,5.4,3.2,0.4,0.0,0.0,0.0,3.7,0.0,0.0,0.2,2.3,0.0,0.0,1.2,0.6,0.6,0.0,0.0,0.0
137,80915,CO,38.85,-104.72,3,005000,08,041,74.7,6.7,0.6,0.0,0.2,0.2,0.0,2.3,0.0,0.2,1.8,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
138,80916,CO,38.8,-104.72,1,004008,08,041,70.6,16.6,1.8,0.0,0.0,0.0,0.2,2.8,0.0,0.0,2.2,0.0,0.2,0.0,,0.3,0.0,,0.0,0.0
139,80918,CO,38.91,-104.78,14,004800,08,041,88.6,4.2,0.5,0.2,0.2,0.0,0.0,2.5,0.0,0.0,0.5,0.3,0.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0
140,80919,CO,38.93,-104.9,24,003701,08,041,88.8,,2.0,0.0,0.0,0.0,0.0,0.6,0.0,0.1,0.2,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,80920,CO,38.96,-104.77,19,007000,08,041,84.9,2.8,1.2,1.0,0.0,,0.0,6.0,,1.4,0.0,0.1,2.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0
142,80921,CO,39.0,-104.9,7,003801,08,041,62.8,16.0,0.5,0.0,0.0,0.0,0.0,7.4,0.0,0.0,3.3,0.6,1.7,0.0,1.9,1.1,0.0,0.0,0.0,1.1
143,80922,CO,38.89,-104.7,2,005109,08,041,80.6,7.5,0.1,0.0,0.0,0.1,0.0,3.8,0.0,1.4,0.7,0.6,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0
144,80923,CO,38.92,-104.71,15,005106,08,041,81.3,5.4,0.2,0.0,0.0,0.2,0.0,3.7,0.0,0.0,1.4,0.2,1.5,0.2,0.4,0.0,0.0,0.0,0.0,0.0
145,80924,CO,38.96,-104.73,9,007101,08,041,78.8,7.1,1.0,0.1,0.0,0.2,0.0,6.1,3.2,0.2,0.4,0.1,1.5,0.1,0.5,0.0,0.0,0.0,0.0,0.0
146,80930,CO,38.81,-104.49,1,004603,08,041,77.7,5.9,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.3,0.2,1.6,0.0,0.0,0.6,0.0,0.6,0.0,0.0
147,80951,CO,38.89,-104.65,1,005104,08,041,87.0,3.4,2.2,0.0,0.4,1.4,0.0,3.1,0.0,1.5,0.0,0.0,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0
148,81001,CO,38.33,-104.52,3,003600,08,101,76.8,2.4,1.6,0.0,0.0,0.0,0.0,1.7,0.0,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,81004,CO,38.1,-104.7,6,002804,08,101,93.6,0.1,0.3,0.0,0.0,0.0,0.0,1.8,0.0,0.1,0.3,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,81005,CO,38.2,-104.8,18,002806,08,101,92.4,0.7,0.3,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,1.7,1.2,0.0,0.0,0.0,0.0,0.0
151,81006,CO,38.2,-104.5,14,003200,08,101,83.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
152,81008,CO,38.4,-104.5,4,003600,08,101,76.8,2.4,1.6,0.0,0.0,0.0,0.0,1.7,0.0,0.6,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,81023,CO,38.1,-104.9,1,002806,08,101,92.4,0.7,0.3,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,1.7,1.2,0.0,0.0,0.0,,0.0
154,81067,CO,38.0,-103.7,1,968200,08,089,89.5,0.4,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,81122,CO,37.4,-107.6,1,970600,08,067,94.0,0.0,4.0,0.3,0.0,1.6,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
156,81131,CO,37.95,-105.72,1,977600,08,109,91.3,0.0,1.1,0.4,0.0,0.1,0.0,1.9,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,81132,CO,37.7,-106.6,2,977000,08,105,92.3,,,0.0,0.0,3.8,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.3,0.0,0.0,0.0
158,81137,CO,37.1,-107.6,1,940300,08,067,72.1,0.8,20.7,0.0,0.2,3.9,0.4,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.2,0.2,0.0,0.0,0.0
159,81201,CO,38.6,-106.1,23,000300,08,015,99.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,81211,CO,38.9,-106.3,6,000401,08,015,96.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,81212,CO,38.5,-105.4,51,979000,08,043,94.6,0.1,0.0,0.0,0.0,0.0,0.0,2.2,0.3,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,81223,CO,38.4,-105.6,6,979000,08,043,94.6,0.1,0.0,0.0,0.0,,0.0,2.2,0.3,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,81224,CO,38.9,-106.9,1,963800,08,051,95.3,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.1,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
164,81226,CO,38.3,-105.1,5,979400,08,043,90.9,3.0,1.1,0.1,0.0,0.0,0.2,1.9,0.0,0.0,0.6,0.0,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0
165,81233,CO,38.5,-105.9,1,979000,08,043,94.6,0.1,0.0,0.0,0.0,0.0,0.0,2.2,0.3,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,81236,CO,38.7,-106.2,1,000300,08,015,99.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,81244,CO,38.3,-105.2,2,979400,08,043,90.9,3.0,1.1,0.1,0.0,0.0,0.2,1.9,0.0,0.0,0.6,0.0,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0
168,81252,CO,38.1,-105.5,5,970100,08,027,93.2,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
169,81303,CO,37.2,-107.9,1,940400,08,067,91.0,0.6,2.2,0.2,0.0,0.5,0.1,1.2,0.1,0.1,0.6,0.3,0.1,0.0,0.1,0.1,,0.0,0.0,0.0
170,81506,CO,39.12,-108.54,1,001600,08,077,97.5,0.0,,0.5,0.0,0.0,0.0,1.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,81601,CO,39.6,-107.3,1,951600,08,045,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,81620,CO,39.63,-106.52,1,000503,08,037,83.7,3.2,1.5,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0
173,81631,CO,39.66,-106.82,1,000403,08,037,95.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,84067,UT,41.18,-112.05,2,210506,49,057,89.0,0.0,1.0,0.0,0.0,0.0,0.3,3.8,0.4,0.0,0.4,0.0,0.3,2.8,0.0,0.0,0.0,0.0,,0.0
175,85085,AZ,33.75,-112.06,1,612200,04,013,,3.7,0.0,0.0,0.0,0.0,0.0,13.6,5.6,3.0,3.0,0.0,1.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0
176,85268,AZ,33.6,-111.74,1,216821,04,013,96.1,0.9,0.3,0.0,0.0,0.3,0.0,2.0,0.3,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,85541,AZ,34.1,-111.2,1,000600,04,007,83.0,0.0,5.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,85641,AZ,32.0,-110.7,1,004109,04,019,94.6,0.6,0.7,0.0,0.0,0.0,0.0,0.5,0.0,0.3,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
179,86406,AZ,34.6,-113.8,1,954800,04,015,82.3,5.1,2.5,0.1,0.0,0.3,0.0,0.5,0.0,0.0,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
180,87015,NM,35.1,-106.2,1,010311,35,049,90.9,0.2,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,87048,NM,35.24,-106.62,1,010602,35,043,84.6,0.1,1.8,0.0,0.5,0.2,0.0,1.3,0.5,0.2,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,,0.0
182,87105,NM,35.0,-106.7,1,004604,35,001,76.4,1.4,1.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0
183,87120,NM,35.1,-106.8,2,940600,35,001,55.1,4.3,18.6,0.0,0.0,13.7,0.0,5.9,1.2,0.1,2.3,0.0,0.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0
184,87401,NM,36.5,-108.3,1,943000,35,045,0.9,0.2,,0.0,0.0,94.5,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,87501,NM,35.7,-105.9,1,010500,35,049,92.8,0.0,1.3,0.3,0.0,0.0,0.0,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,87505,NM,35.6,-105.9,1,010800,35,049,89.9,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
187,87508,NM,35.5,-105.9,1,010700,35,049,93.0,2.7,0.4,0.0,0.0,0.0,0.0,1.2,0.0,0.5,0.1,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.2
188,87571,NM,36.5,-105.5,2,940100,35,055,69.5,0.3,16.9,0.0,0.2,0.4,0.2,0.5,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
189,93314,CA,35.4,-119.2,1,003803,06,029,,1.0,0.6,0.4,0.0,0.0,0.0,5.2,0.1,0.0,4.9,0.2,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.4
190,95139,CA,37.22,-121.75,2,512100,06,085,77.1,0.0,0.2,0.2,0.0,0.0,0.0,12.4,3.6,2.8,0.5,3.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
